nombre,precio,socket,chipset,memorias,formato,tipomemoria,link
ASUS TUF Z390M-PRO GAMING,169.900,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/53664-asus-tuf-z390m-pro-gaming-wi-fi
ASUS TUF Z370-PLUS GAMING,174.990,LGA 1151-v2,Intel Z370 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/40161-asus-tuf-z370-plus-gaming
ASUS PRIME X570-P,174.990,AM4,AMD X570 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/63606-asus-prime-x570-p
MSI MAG Z390 TOMAHAWK,170.900,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/52305-msi-mag-z390-tomahawk
ASUS TUF Z390-PRO GAMING,176.900,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/53663-asus-tuf-z390-pro-gaming
MSI X570-A PRO,174.900,AM4,AMD X570 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/65055-msi-x570-a-pro
ASRock X570 Phantom Gaming 4 WiFi ax,179.990,AM4,AMD X570 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/64587-asrock-x570-phantom-gaming-4-wifi-ax
ASUS TUF Z370-PLUS GAMING II,179.990,LGA 1151-v2,Intel Z370 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/55227-asus-tuf-z370-plus-gaming-ii
ASRock Fatal1ty Z370 Gaming-ITX/ac,179.900,LGA 1151-v2,Intel Z370 (LGA 1151-v2),2x DDR4,Mini ITX,DDR4,https://www.solotodo.com/products/42207-asrock-fatal1ty-z370-gaming-itxac
ASUS ROG STRIX Z390-H GAMING,179.900,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/52285-asus-rog-strix-z390-h-gaming
Gigabyte GA-Z270X-UD5,180.900,LGA 1151,Intel Z270 (LGA 1151),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/38174-gigabyte-ga-z270x-ud5
ASRock X570 Pro4,187.500,AM4,AMD X570 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/64588-asrock-x570-pro4
MSI MPG X570 GAMING PLUS,188.900,AM4,AMD X570 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/63831-msi-mpg-x570-gaming-plus
Gigabyte X570 UD,189.900,AM4,AMD X570 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/67586-gigabyte-x570-ud
MSI MPG Z390 GAMING PRO CARBON,187.900,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/54273-msi-mpg-z390-gaming-pro-carbon
ASUS ROG STRIX Z390-I GAMING,189.900,LGA 1151-v2,Intel Z390 (LGA 1151-v2),2x DDR4,Mini ITX,DDR4,https://www.solotodo.com/products/54292-asus-rog-strix-z390-i-gaming
MSI Z170A XPOWER GAMING TITANIUM EDITION,199.900,LGA 1151,Intel Z170 (LGA 1151),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/25201-msi-z170a-xpower-gaming-titanium-edition
ASUS TUF GAMING X570-PLUS,219.488,AM4,AMD X570 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/65225-asus-tuf-gaming-x570-plus
